ParticipantID,Email,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,OriginTypePairID,ParticipantFieldOfInterest,TotalDonations
39,zoey.sanchez45@learners.net,Zoey,Sanchez,2005-11-16,participant,801-271-5573,Layton,UT,84886,7,Both,
40,liam.wright46@learners.net,Liam,Wright,2011-01-09,participant,801-467-3925,Salt Lake City,UT,84119,4,STEM,
41,mila.hill47@community.org,Mila,Hill,2011-08-07,participant,801-521-8149,Draper,UT,84747,8,STEM,163.07
42,hazel.torres48@studentmail.org,Hazel,Torres,1998-01-14,participant,801-925-8144,Layton,UT,84046,8,Both,173.89
43,avery.martin50@learners.net,Avery,Martin,2010-06-08,participant,801-612-5844,Taylorsville,UT,84335,12,STEM,
44,oliver.harris51@studentmail.org,Oliver,Harris,2004-10-25,participant,801-761-1006,Murray,UT,84416,4,STEM,470.82
45,william.nguyen52@learners.net,William,Nguyen,2009-06-19,participant,801-652-4501,Riverton,UT,84453,5,Both,
46,chloe.garcia53@learners.net,Chloe,Garcia,2000-02-05,participant,801-848-6491,Pleasant Grove,UT,84680,13,STEM,24.43
47,bella.anderson54@studentmail.org,Bella,Anderson,2008-08-28,participant,801-247-5011,St. George,UT,84026,9,STEM,85.32
48,benjamin.clark55@studentmail.org,Benjamin,Clark,2001-04-23,participant,801-609-4997,Bountiful,UT,84507,7,Both,
49,ava.miller56@community.org,Ava,Miller,2008-06-02,participant,801-912-9486,West Jordan,UT,84181,11,Both,
50,addison.davis57@community.org,Addison,Davis,2010-07-15,participant,801-675-9702,St. George,UT,84821,9,Arts,
51,henry.flores58@community.org,Henry,Flores,2008-02-04,participant,801-362-8777,Riverton,UT,84919,4,STEM,415.85
52,penelope.king59@community.org,Penelope,King,2014-01-02,participant,801-650-2269,West Jordan,UT,84282,4,STEM,180.75
53,paisley.perez60@learners.net,Paisley,Perez,2006-08-04,participant,801-354-4788,Ogden,UT,84142,14,STEM,
54,hannah.jones61@community.org,Hannah,Jones,2007-04-30,participant,801-755-8633,Taylorsville,UT,84339,11,STEM,162.65
55,oliver.harris62@ellarises.org,Oliver,Harris,2004-09-12,participant,801-206-6763,Bountiful,UT,84489,15,Arts,487.44
56,oliver.wright63@studentmail.org,Oliver,Wright,2008-11-22,participant,801-479-8140,Spanish Fork,UT,84225,11,Arts,1662.56
57,violet.sanchez64@studentmail.org,Violet,Sanchez,1998-08-09,participant,801-330-9751,Riverton,UT,84942,3,Arts,
58,sophia.garcia65@community.org,Sophia,Garcia,1999-02-16,participant,801-672-3977,St. George,UT,84888,4,Arts,1032.55
59,claire.wilson66@community.org,Claire,Wilson,2004-03-29,participant,801-979-7211,Lehi,UT,84346,15,Arts,
60,eleanor.garcia67@community.org,Eleanor,Garcia,2005-11-06,participant,801-752-1853,Salt Lake City,UT,84768,10,Both,1224.51
61,harper.williams68@ellarises.org,Harper,Williams,2003-05-09,participant,801-220-3496,West Jordan,UT,84205,12,Arts,265.92
62,ella.torres69@studentmail.org,Ella,Torres,2001-10-06,participant,801-462-7043,Riverton,UT,84717,9,Both,
63,ella.hernandez70@learners.net,Ella,Hernandez,2010-11-30,participant,801-226-6111,Logan,UT,84593,7,Arts,266.15
64,james.gonzalez71@ellarises.org,James,Gonzalez,2013-05-07,participant,801-913-5941,West Jordan,UT,84105,9,STEM,
65,mia.thompson72@community.org,Mia,Thompson,1998-04-14,participant,801-718-6590,Draper,UT,84071,13,Arts,1012.53
66,alexander.miller73@community.org,Alexander,Miller,2007-10-08,participant,801-670-3506,Draper,UT,84651,12,Both,
67,michael.moore74@community.org,Michael,Moore,2005-03-25,participant,801-948-5397,Riverton,UT,84447,13,STEM,501.74
68,emily.moore75@community.org,Emily,Moore,2005-07-18,participant,801-675-7209,West Jordan,UT,84769,11,Arts,23.32
69,penelope.scott77@ellarises.org,Penelope,Scott,2003-06-01,participant,801-395-2402,Pleasant Grove,UT,84971,14,Arts,
70,alexander.scott78@studentmail.org,Alexander,Scott,2008-01-20,participant,801-928-9041,Spanish Fork,UT,84662,15,STEM,
71,emily.jackson79@studentmail.org,Emily,Jackson,2012-11-22,participant,801-449-6016,Bountiful,UT,84709,9,Arts,
72,jack.scott80@learners.net,Jack,Scott,2005-11-22,participant,801-763-6419,Taylorsville,UT,84764,14,Arts,
73,sebastian.lopez82@studentmail.org,Sebastian,Lopez,2014-04-02,participant,801-695-5530,Sandy,UT,84757,9,Both,
74,aurora.miller83@studentmail.org,Aurora,Miller,2004-10-12,participant,801-569-3939,Murray,UT,84233,11,Both,422.99
75,sebastian.rodriguez84@learners.net,Sebastian,Rodriguez,2013-08-23,participant,801-255-5786,Provo,UT,84998,12,Both,225.91
76,alexander.miller85@ellarises.org,Alexander,Miller,2005-08-23,participant,801-690-8216,Murray,UT,84481,12,STEM,744.35
77,eleanor.walker86@ellarises.org,Eleanor,Walker,2010-12-10,participant,801-703-2213,Ogden,UT,84411,7,Both,171.01
78,victoria.king88@community.org,Victoria,King,2011-03-15,participant,801-653-5871,Riverton,UT,84931,6,Arts,998.03
79,amelia.flores89@ellarises.org,Amelia,Flores,2012-10-24,participant,801-416-5335,Sandy,UT,84641,2,STEM,
80,lillian.lopez90@ellarises.org,Lillian,Lopez,2013-06-18,participant,801-618-8381,Orem,UT,84003,9,Arts,262.7
81,savannah.williams91@studentmail.org,Savannah,Williams,1999-08-07,participant,801-489-8438,Murray,UT,84724,7,STEM,
82,lucy.nguyen92@studentmail.org,Lucy,Nguyen,2012-07-11,participant,801-757-4683,Taylorsville,UT,84118,12,Arts,
83,aria.jones93@ellarises.org,Aria,Jones,2007-11-07,participant,801-514-5728,Orem,UT,84812,2,Arts,
84,brooklyn.sanchez94@learners.net,Brooklyn,Sanchez,1999-10-21,participant,801-705-8172,Pleasant Grove,UT,84553,9,STEM,71.76
85,william.lee95@learners.net,William,Lee,2013-01-29,participant,801-434-1339,Salt Lake City,UT,84094,13,Arts,2141.6
86,mia.lopez96@community.org,Mia,Lopez,2002-01-26,participant,801-652-5557,Pleasant Grove,UT,84668,9,Arts,
87,alexander.garcia97@community.org,Alexander,Garcia,2013-01-11,participant,801-541-6260,Draper,UT,84419,2,STEM,
88,skylar.clark98@community.org,Skylar,Clark,2008-03-14,participant,801-610-1601,Murray,UT,84679,2,Arts,
89,eleanor.lee99@ellarises.org,Eleanor,Lee,2012-10-01,participant,801-726-1018,Bountiful,UT,84886,13,Both,230.66
90,theodore.clark100@ellarises.org,Theodore,Clark,2012-01-11,participant,801-570-9167,Sandy,UT,84531,5,STEM,
91,grace.moore101@studentmail.org,Grace,Moore,2000-09-21,participant,801-915-8941,Murray,UT,84449,11,Both,
92,lillian.hernandez102@learners.net,Lillian,Hernandez,2003-01-15,participant,801-617-2527,Salt Lake City,UT,84566,13,STEM,519.78
93,oliver.walker104@community.org,Oliver,Walker,2006-08-09,participant,801-764-3369,West Jordan,UT,84468,10,Both,
94,daniel.rodriguez105@ellarises.org,Daniel,Rodriguez,2009-05-22,participant,801-624-6568,Layton,UT,84792,4,STEM,
95,aurora.martin106@community.org,Aurora,Martin,2005-09-28,participant,801-751-8935,St. George,UT,84458,1,Both,
96,ethan.harris107@community.org,Ethan,Harris,2010-10-29,participant,801-393-4912,Lehi,UT,84891,6,STEM,
97,noah.williams108@learners.net,Noah,Williams,2012-11-19,participant,801-590-7325,Spanish Fork,UT,84723,15,Both,164.25
98,scarlett.young109@ellarises.org,Scarlett,Young,2000-04-02,participant,801-804-6439,St. George,UT,84515,13,Arts,
99,elizabeth.king110@community.org,Elizabeth,King,2012-09-07,participant,801-347-7717,Salt Lake City,UT,84740,12,STEM,134.79
100,jack.taylor111@learners.net,Jack,Taylor,2013-02-15,participant,801-282-6383,Bountiful,UT,84666,13,Both,
101,leah.lee112@community.org,Leah,Lee,2012-02-27,participant,801-270-4846,Provo,UT,84633,7,Arts,41.09
102,madison.garcia113@community.org,Madison,Garcia,2007-12-14,participant,801-848-2646,Logan,UT,84779,12,Both,
103,brooklyn.johnson114@ellarises.org,Brooklyn,Johnson,2006-01-15,participant,801-257-5806,Lehi,UT,84816,1,Arts,
104,aria.thomas115@community.org,Aria,Thomas,2011-09-02,participant,801-379-2293,Orem,UT,84175,13,Arts,
105,lillian.young116@studentmail.org,Lillian,Young,2008-04-22,participant,801-853-5161,West Jordan,UT,84473,4,Both,
106,olivia.robinson117@learners.net,Olivia,Robinson,2011-03-07,participant,801-652-6661,Orem,UT,84076,4,Both,
107,elijah.taylor118@community.org,Elijah,Taylor,2000-05-23,participant,801-593-8916,Murray,UT,84204,10,Arts,
108,stella.torres119@learners.net,Stella,Torres,2004-02-27,participant,801-874-7484,Murray,UT,84023,11,Both,
109,charlotte.hill120@community.org,Charlotte,Hill,2002-11-30,participant,801-435-6772,Murray,UT,84795,7,STEM,259.86
110,eleanor.rodriguez121@ellarises.org,Eleanor,Rodriguez,2010-12-31,participant,801-651-1546,Provo,UT,84317,1,Both,
111,sofia.garcia122@learners.net,Sofia,Garcia,2002-07-03,participant,801-625-3877,Lehi,UT,84766,12,Both,961.74
112,natalie.king123@learners.net,Natalie,King,2014-09-29,participant,801-693-5835,Orem,UT,84264,13,Arts,84.97
113,ella.robinson124@ellarises.org,Ella,Robinson,2010-07-02,participant,801-431-7511,St. George,UT,84773,1,STEM,
114,james.smith125@learners.net,James,Smith,2011-02-10,participant,801-577-5295,Logan,UT,84466,6,Both,90.7
115,zoe.miller126@studentmail.org,Zoe,Miller,2011-09-07,participant,801-834-6374,Spanish Fork,UT,84026,10,Both,27.97
116,harper.robinson127@learners.net,Harper,Robinson,1998-11-01,participant,801-343-1742,Taylorsville,UT,84120,4,Arts,
117,ella.miller128@studentmail.org,Ella,Miller,2013-01-14,participant,801-664-7078,St. George,UT,84398,14,Both,280.34
118,ethan.clark129@studentmail.org,Ethan,Clark,2011-10-23,participant,801-301-9017,Taylorsville,UT,84671,6,Arts,
119,isabella.white130@studentmail.org,Isabella,White,2000-03-24,participant,801-441-6942,Riverton,UT,84456,7,Arts,423.95
120,ethan.thompson131@ellarises.org,Ethan,Thompson,2008-03-14,participant,801-394-3001,Bountiful,UT,84283,2,Both,246.13
121,hannah.hill132@ellarises.org,Hannah,Hill,2000-10-28,participant,801-541-4990,Provo,UT,84806,15,Both,
122,grace.jones133@studentmail.org,Grace,Jones,2001-04-23,participant,801-438-6383,Sandy,UT,84833,15,Both,330.12
123,ava.moore134@studentmail.org,Ava,Moore,2000-06-19,participant,801-456-3858,St. George,UT,84554,7,STEM,758.06
124,sofia.smith135@learners.net,Sofia,Smith,2001-11-28,participant,801-531-1258,West Jordan,UT,84603,4,STEM,
125,sofia.clark136@ellarises.org,Sofia,Clark,2009-07-06,participant,801-659-6931,Ogden,UT,84488,9,STEM,
126,lucas.allen137@studentmail.org,Lucas,Allen,2004-10-06,participant,801-874-9543,Provo,UT,84745,5,Both,93.66
127,sophia.brown138@community.org,Sophia,Brown,2008-12-30,participant,801-902-2768,Bountiful,UT,84437,14,Arts,
128,evelyn.garcia139@learners.net,Evelyn,Garcia,2012-01-02,participant,801-329-5505,St. George,UT,84068,7,Both,
129,claire.harris140@learners.net,Claire,Harris,2000-03-23,participant,801-819-8048,Riverton,UT,84518,15,Both,443.1
130,ella.scott141@studentmail.org,Ella,Scott,2005-08-08,participant,801-433-7779,Taylorsville,UT,84463,13,Arts,111.01
131,liam.clark142@ellarises.org,Liam,Clark,2006-05-25,participant,801-520-5176,Lehi,UT,84438,12,Both,1705.11
132,jack.jones143@ellarises.org,Jack,Jones,2014-09-13,participant,801-642-2582,Ogden,UT,84096,14,Arts,
133,sofia.scott144@ellarises.org,Sofia,Scott,2005-12-06,participant,801-325-7730,Lehi,UT,84687,13,Both,227.02
134,elijah.brown145@learners.net,Elijah,Brown,2002-10-09,participant,801-306-9313,Murray,UT,84361,12,Both,
135,victoria.ramirez147@ellarises.org,Victoria,Ramirez,2013-10-05,participant,801-384-5477,Layton,UT,84030,15,Arts,82.55
136,violet.thompson148@ellarises.org,Violet,Thompson,1999-07-25,participant,801-346-7566,Orem,UT,84891,12,Both,
137,sophia.garcia149@studentmail.org,Sophia,Garcia,2001-07-13,participant,801-664-6585,Bountiful,UT,84430,1,Arts,
138,claire.torres150@ellarises.org,Claire,Torres,2013-02-12,participant,801-361-1815,Provo,UT,84160,2,Arts,
139,henry.ramirez151@community.org,Henry,Ramirez,2014-12-07,participant,801-479-4531,Riverton,UT,84425,8,STEM,1047.25
140,kennedy.ramirez152@ellarises.org,Kennedy,Ramirez,2009-10-26,participant,801-894-8972,Murray,UT,84695,7,Arts,
141,mia.anderson153@community.org,Mia,Anderson,2002-09-27,participant,801-409-5938,Provo,UT,84008,15,STEM,
142,eleanor.jackson154@learners.net,Eleanor,Jackson,2001-12-10,participant,801-709-8055,Logan,UT,84008,12,Arts,1066.95
143,sebastian.anderson155@learners.net,Sebastian,Anderson,2007-10-14,participant,801-959-1693,Ogden,UT,84407,11,Arts,255.96
144,evelyn.lee156@community.org,Evelyn,Lee,2004-06-29,participant,801-855-7843,Bountiful,UT,84727,2,Arts,93.53
145,emma.lee157@studentmail.org,Emma,Lee,1999-12-23,participant,801-906-6928,Riverton,UT,84852,6,STEM,
146,addison.ramirez158@community.org,Addison,Ramirez,2014-09-23,participant,801-605-6083,Pleasant Grove,UT,84081,1,STEM,88.2
147,skylar.hernandez159@ellarises.org,Skylar,Hernandez,2009-06-09,participant,801-316-9693,Pleasant Grove,UT,84649,10,Arts,
148,kennedy.martinez160@studentmail.org,Kennedy,Martinez,2001-11-22,participant,801-462-4232,Logan,UT,84150,9,STEM,
149,evelyn.lopez161@community.org,Evelyn,Lopez,2013-04-11,participant,801-777-8354,Riverton,UT,84773,3,Both,566.36
150,claire.lee162@studentmail.org,Claire,Lee,2012-02-29,participant,801-680-8245,Riverton,UT,84070,4,Arts,73.53
151,amelia.thompson163@ellarises.org,Amelia,Thompson,1999-04-12,participant,801-662-1616,Murray,UT,84473,1,Arts,
152,evelyn.garcia164@community.org,Evelyn,Garcia,2008-02-02,participant,801-767-1672,Riverton,UT,84595,3,Both,
153,zoey.lee165@community.org,Zoey,Lee,2000-04-27,participant,801-263-8381,Pleasant Grove,UT,84155,15,Arts,
154,abigail.allen166@studentmail.org,Abigail,Allen,2007-11-09,participant,801-924-8172,Provo,UT,84254,8,Both,
155,lily.white167@learners.net,Lily,White,2013-03-24,participant,801-618-6543,Murray,UT,84397,9,STEM,204.12
156,skylar.jones168@learners.net,Skylar,Jones,2004-05-16,participant,801-894-7333,Logan,UT,84572,4,Both,25.72
157,scarlett.perez169@ellarises.org,Scarlett,Perez,2012-09-18,participant,801-558-6082,St. George,UT,84939,14,Both,992.38
158,james.rodriguez170@ellarises.org,James,Rodriguez,2000-11-12,participant,801-585-6381,Murray,UT,84573,7,Both,
159,mason.garcia171@community.org,Mason,Garcia,2004-12-05,participant,801-218-6940,Pleasant Grove,UT,84371,12,STEM,1059.62
160,violet.young172@studentmail.org,Violet,Young,2004-08-20,participant,801-358-2264,West Jordan,UT,84141,13,STEM,2042.81
161,mateo.wright173@ellarises.org,Mateo,Wright,2011-05-25,participant,801-984-3147,Lehi,UT,84898,6,STEM,109.25
162,lily.lopez174@studentmail.org,Lily,Lopez,2013-03-03,participant,801-620-6968,Riverton,UT,84045,14,STEM,
163,henry.flores175@learners.net,Henry,Flores,2004-12-10,participant,801-746-4918,Riverton,UT,84240,15,Arts,
164,zoey.white176@community.org,Zoey,White,2009-04-12,participant,801-488-7256,Riverton,UT,84788,8,Arts,
165,lily.gonzalez177@studentmail.org,Lily,Gonzalez,2006-04-29,participant,801-856-8873,Layton,UT,84054,8,STEM,
166,michael.davis178@learners.net,Michael,Davis,2008-01-29,participant,801-364-5469,Ogden,UT,84782,3,Both,
167,aria.ramirez179@ellarises.org,Aria,Ramirez,1998-08-07,participant,801-661-6727,West Jordan,UT,84837,6,STEM,
168,james.allen180@learners.net,James,Allen,2003-01-14,participant,801-283-7142,West Jordan,UT,84396,11,Arts,
169,elizabeth.perez181@studentmail.org,Elizabeth,Perez,2013-08-12,participant,801-493-8740,St. George,UT,84040,13,STEM,
170,jack.lewis182@ellarises.org,Jack,Lewis,2001-05-09,participant,801-462-4533,Ogden,UT,84020,8,Both,
171,mason.ramirez183@ellarises.org,Mason,Ramirez,1999-01-27,participant,801-508-2996,Murray,UT,84244,10,Arts,65.36
172,benjamin.jones184@ellarises.org,Benjamin,Jones,2012-03-04,participant,801-748-1269,Spanish Fork,UT,84612,8,Both,1208.05
173,lillian.martinez185@learners.net,Lillian,Martinez,2003-05-25,participant,801-829-6780,Taylorsville,UT,84002,9,Arts,823.65
174,riley.garcia186@learners.net,Riley,Garcia,2009-05-19,participant,801-738-9914,Ogden,UT,84977,15,Both,
175,emma.harris187@community.org,Emma,Harris,2003-09-09,participant,801-596-7116,Provo,UT,84651,14,STEM,
176,stella.jones188@learners.net,Stella,Jones,2011-01-19,participant,801-872-2698,West Jordan,UT,84751,14,Arts,229.6
177,camila.williams189@learners.net,Camila,Williams,2013-05-10,participant,801-858-3868,Lehi,UT,84834,5,Both,
178,levi.lopez190@studentmail.org,Levi,Lopez,1998-10-30,participant,801-994-8498,Ogden,UT,84734,4,STEM,71.7
179,mia.gonzalez191@ellarises.org,Mia,Gonzalez,2006-12-07,participant,801-517-9444,Lehi,UT,84956,13,Both,
180,jack.taylor192@ellarises.org,Jack,Taylor,2012-09-15,participant,801-565-1783,Sandy,UT,84293,1,Arts,
181,avery.white193@community.org,Avery,White,2005-08-09,participant,801-650-7334,Bountiful,UT,84762,12,Arts,161.12
182,jackson.white194@learners.net,Jackson,White,2007-08-29,participant,801-634-2293,Ogden,UT,84745,9,STEM,
183,ethan.jackson195@learners.net,Ethan,Jackson,2004-11-15,participant,801-535-5843,Logan,UT,84082,5,Both,75.37
184,amelia.jones197@community.org,Amelia,Jones,1998-09-13,participant,801-967-3621,Draper,UT,84526,12,Both,
185,henry.williams198@studentmail.org,Henry,Williams,2006-02-14,participant,801-997-7001,Ogden,UT,84242,6,Both,765.6
186,isabella.hill199@studentmail.org,Isabella,Hill,2007-12-16,participant,801-579-7095,Riverton,UT,84972,15,STEM,1075.85
187,camila.king200@learners.net,Camila,King,2003-08-07,participant,801-865-5566,Bountiful,UT,84322,2,STEM,554.09
188,riley.young201@community.org,Riley,Young,2013-10-16,participant,801-993-5264,Logan,UT,84269,5,STEM,579.8
189,henry.garcia203@learners.net,Henry,Garcia,2004-07-06,participant,801-266-9882,Draper,UT,84727,3,Arts,657.95
190,lily.lopez204@learners.net,Lily,Lopez,2001-02-11,participant,801-324-4292,Pleasant Grove,UT,84230,10,Arts,488.4
191,sophia.white205@learners.net,Sophia,White,2011-09-23,participant,801-764-3126,Riverton,UT,84823,3,STEM,
192,harper.martin206@community.org,Harper,Martin,2010-11-23,participant,801-620-7708,Spanish Fork,UT,84539,2,STEM,
193,aaliyah.jones207@community.org,Aaliyah,Jones,2000-11-17,participant,801-729-6644,Riverton,UT,84697,3,Both,
194,riley.rodriguez208@community.org,Riley,Rodriguez,2009-08-15,participant,801-256-3034,Pleasant Grove,UT,84933,12,Arts,70.09
195,penelope.rodriguez210@learners.net,Penelope,Rodriguez,2011-04-11,participant,801-856-3762,Ogden,UT,84515,9,STEM,728.92
196,chloe.flores211@learners.net,Chloe,Flores,1999-01-08,participant,801-229-2330,Provo,UT,84846,7,Both,
197,lucy.wilson212@community.org,Lucy,Wilson,2004-06-30,participant,801-842-9938,Salt Lake City,UT,84510,7,Arts,
198,levi.thomas213@community.org,Levi,Thomas,2001-07-18,participant,801-274-1981,Murray,UT,84465,5,Arts,112.63
199,levi.robinson214@studentmail.org,Levi,Robinson,2014-02-10,participant,801-347-6121,Lehi,UT,84622,1,Both,1083.59
200,kennedy.sanchez215@studentmail.org,Kennedy,Sanchez,2005-02-27,participant,801-775-2739,Draper,UT,84528,10,Arts,
201,avery.moore216@community.org,Avery,Moore,2004-07-05,participant,801-299-1829,West Jordan,UT,84145,6,Both,653.37
202,oliver.thomas217@studentmail.org,Oliver,Thomas,2002-04-05,participant,801-791-6123,Lehi,UT,84957,15,STEM,
203,jackson.allen218@community.org,Jackson,Allen,1998-07-09,participant,801-515-9148,Spanish Fork,UT,84901,2,Arts,
204,mateo.robinson219@studentmail.org,Mateo,Robinson,1999-02-19,participant,801-561-1797,Sandy,UT,84598,4,Arts,58.85
205,jack.jackson220@ellarises.org,Jack,Jackson,2014-04-26,participant,801-337-5333,Logan,UT,84442,1,Arts,
206,natalie.williams221@community.org,Natalie,Williams,2006-02-17,participant,801-775-4189,Provo,UT,84584,8,Arts,185.01
207,evelyn.harris222@community.org,Evelyn,Harris,2000-11-20,participant,801-838-2946,Layton,UT,84846,2,Arts,113.29
208,zoe.perez223@learners.net,Zoe,Perez,2007-01-02,participant,801-816-9341,St. George,UT,84204,8,STEM,
209,mia.williams224@studentmail.org,Mia,Williams,2008-04-01,participant,801-685-9508,Lehi,UT,84824,12,Both,
210,daniel.rodriguez225@learners.net,Daniel,Rodriguez,2011-04-26,participant,801-602-5902,Lehi,UT,84167,1,Both,
211,daniel.wright226@community.org,Daniel,Wright,2005-06-06,participant,801-217-7035,Murray,UT,84487,7,STEM,115.62
212,oliver.nguyen227@learners.net,Oliver,Nguyen,2012-09-14,participant,801-685-5350,Salt Lake City,UT,84612,15,Both,
213,madison.brown228@community.org,Madison,Brown,2001-04-25,participant,801-844-7229,Orem,UT,84537,13,Both,308.81
214,addison.williams229@ellarises.org,Addison,Williams,2007-05-24,participant,801-651-6139,Sandy,UT,84020,12,Arts,78.58
215,grace.clark230@community.org,Grace,Clark,2002-08-26,participant,801-341-9498,Provo,UT,84723,8,Arts,229.34
216,levi.king231@community.org,Levi,King,2009-12-16,participant,801-377-8531,Lehi,UT,84980,1,Both,
217,stella.taylor232@community.org,Stella,Taylor,2010-07-08,participant,801-452-5571,Sandy,UT,84981,4,STEM,
218,brooklyn.jackson233@studentmail.org,Brooklyn,Jackson,2010-07-28,participant,801-691-6714,Spanish Fork,UT,84325,3,Both,26.86
219,penelope.jackson234@ellarises.org,Penelope,Jackson,2001-04-14,participant,801-604-6654,Bountiful,UT,84918,4,STEM,
220,aurora.garcia235@learners.net,Aurora,Garcia,2002-10-19,participant,801-462-8849,Riverton,UT,84672,10,Both,
221,paisley.scott236@learners.net,Paisley,Scott,2003-06-10,participant,801-830-4920,St. George,UT,84112,11,Both,155.08
222,mason.anderson237@studentmail.org,Mason,Anderson,2014-02-02,participant,801-623-6411,Provo,UT,84103,5,STEM,23.13
223,camila.smith238@studentmail.org,Camila,Smith,2012-08-04,participant,801-687-8822,Taylorsville,UT,84669,10,Arts,
224,claire.jackson239@ellarises.org,Claire,Jackson,2010-01-01,participant,801-787-4804,Ogden,UT,84668,14,Both,
